log_timestamp,source_host,source_ip,destination_ip,destination_port,protocol,process_pid_ref
2025-09-15 08:05:13.456789 UTC,linapp0101,10.50.5.10,10.60.10.5,5432,TCP,11201
2025-09-15 08:15:21.987654 UTC,lindb0040,10.60.10.5,10.50.5.10,33012,TCP,2010
2025-09-15 08:20:55.123012 UTC,linsrv0301,10.50.8.41,1.1.1.1,443,TCP,3010
2025-09-15 08:22:31.123456 UTC,winsrv0221,10.20.3.16,45.146.164.110,8080,TCP,700
2025-09-15 08:22:40.123456 UTC,winsrv0221,10.20.3.16,45.146.164.110,8080,TCP,700
2025-09-15 08:22:55.123456 UTC,winsrv0221,10.20.3.16,45.146.164.111,8080,TCP,700
2025-09-15 08:23:05.123456 UTC,winsrv0221,10.20.3.16,45.146.164.112,80,TCP,700
2025-09-15 08:22:52.123012 UTC,winws1209,10.12.0.111,10.12.0.1,389,TCP,11601
2025-09-15 08:24:52.456345 UTC,winws1217,10.12.0.119,10.12.0.1,389,TCP,12601
2025-09-15 08:26:52.789678 UTC,winws1225,10.12.0.127,10.12.0.1,389,TCP,13601
2025-09-15 08:28:52.123012 UTC,winws1233,10.12.0.135,10.12.0.1,389,TCP,14601
2025-09-15 08:30:52.456345 UTC,winws1241,10.12.0.143,10.12.0.1,389,TCP,15601
2025-09-15 08:32:52.789678 UTC,winws1249,10.12.0.151,10.12.0.1,389,TCP,16601
2025-09-15 08:34:52.123012 UTC,winws1257,10.12.0.159,10.12.0.1,389,TCP,17601
2025-09-15 08:36:52.456345 UTC,winws1265,10.12.0.167,10.12.0.1,389,TCP,18601
2025-09-15 08:38:52.789678 UTC,winws1273,10.12.0.175,10.12.0.1,389,TCP,19601
2025-09-15 08:40:52.123012 UTC,winws1281,10.12.0.183,10.12.0.1,389,TCP,20601
2025-09-15 08:42:52.456345 UTC,winws1289,10.12.0.191,10.12.0.1,389,TCP,21601
2025-09-15 08:44:52.789678 UTC,winws1297,10.12.0.199,10.12.0.1,389,TCP,22601
2025-09-15 08:46:52.123012 UTC,winws1305,10.12.0.207,10.12.0.1,389,TCP,23601
2025-09-15 08:48:52.456345 UTC,winws1313,10.12.0.215,10.12.0.1,389,TCP,24601
2025-09-15 08:20:34.789678 UTC,winws0151,10.15.0.21,10.15.0.1,389,TCP,10501
2025-09-15 08:22:04.789678 UTC,winws0157,10.15.0.27,10.15.0.1,389,TCP,11201
2025-09-15 08:24:04.123012 UTC,winws0165,10.15.0.35,10.15.0.1,389,TCP,12201
2025-09-15 08:26:04.456345 UTC,winws0173,10.15.0.43,10.15.0.1,389,TCP,13201
2025-09-15 08:28:04.789678 UTC,winws0181,10.15.0.51,10.15.0.1,389,TCP,14201
2025-09-15 08:30:04.123012 UTC,winws0189,10.15.0.59,10.15.0.1,389,TCP,15201
2025-09-15 08:32:04.456345 UTC,winws0197,10.15.0.67,10.15.0.1,389,TCP,16201
2025-09-15 08:34:04.789678 UTC,winws0205,10.15.0.75,10.15.0.1,389,TCP,17201
2025-09-15 08:36:04.123012 UTC,winws0212,10.15.0.83,10.15.0.1,389,TCP,18201
2025-09-15 08:38:04.456345 UTC,winws0220,10.15.0.91,10.15.0.1,389,TCP,19201
2025-09-15 08:40:04.789678 UTC,winws0228,10.15.0.99,10.15.0.1,389,TCP,20201
2025-09-15 08:42:04.123012 UTC,winws0236,10.15.0.107,10.15.0.1,389,TCP,21201
2025-09-15 08:44:04.456345 UTC,winws0244,10.15.0.115,10.15.0.1,389,TCP,22201
2025-09-15 08:46:04.789678 UTC,winws0252,10.15.0.123,10.15.0.1,389,TCP,23201
2025-09-15 08:48:04.123012 UTC,winws0260,10.15.0.131,10.15.0.1,389,TCP,24201
2025-09-15 08:50:04.456345 UTC,winws0268,10.15.0.139,10.15.0.1,389,TCP,25201
2025-09-15 08:23:28.123012 UTC,winws0095,10.30.0.100,10.30.0.1,389,TCP,11901
2025-09-15 08:25:28.456345 UTC,winws0099,10.30.0.120,10.30.0.1,389,TCP,12901
2025-09-15 08:27:28.789678 UTC,winws0103,10.30.0.128,10.30.0.1,389,TCP,13901
2025-09-15 08:29:28.123012 UTC,winws0107,10.30.0.136,10.30.0.1,389,TCP,14901
2025-09-15 08:31:28.456345 UTC,winws0111,10.30.0.144,10.30.0.1,389,TCP,15901
2025-09-15 08:33:28.789678 UTC,winws0115,10.30.0.152,10.30.0.1,389,TCP,16901
2025-09-15 08:35:28.123012 UTC,winws0119,10.30.0.160,10.30.0.1,389,TCP,17901
2025-09-15 08:37:28.456345 UTC,winws0123,10.30.0.168,10.30.0.1,389,TCP,18901
2025-09-15 08:39:28.789678 UTC,winws0127,10.30.0.176,10.30.0.1,389,TCP,19901
2025-09-15 08:41:28.123012 UTC,winws0131,10.30.0.184,10.30.0.1,389,TCP,20901
2025-09-15 08:43:28.456345 UTC,winws0135,10.30.0.192,10.30.0.1,389,TCP,21901
2025-09-15 08:45:28.789678 UTC,winws0139,10.30.0.200,10.30.0.1,389,TCP,22901
2025-09-15 08:47:28.123012 UTC,winws0143,10.30.0.208,10.30.0.1,389,TCP,23901
2025-09-15 08:49:28.456345 UTC,winws0147,10.30.0.216,10.30.0.1,389,TCP,24901
2025-09-15 08:21:43.456345 UTC,winws1049,10.30.0.93,104.18.37.128,443,TCP,11001
2025-09-15 08:23:04.456345 UTC,winws0161,10.15.0.31,104.18.37.128,443,TCP,11701
2025-09-15 08:24:22.123012 UTC,winws1215,10.12.0.117,104.18.37.128,443,TCP,12301
2025-09-15 08:26:22.456345 UTC,winws1223,10.12.0.125,104.18.37.128,443,TCP,13301
2025-09-15 08:28:22.789678 UTC,winws1231,10.12.0.133,104.18.37.128,443,TCP,14301
2Options:09-15 08:30:22.123012 UTC,winws1239,10.12.0.141,104.18.37.128,443,TCP,15301
2025-09-15 08:32:22.456345 UTC,winws1247,10.12.0.149,104.18.37.128,443,TCP,16301
2025-09-15 08:34:22.789678 UTC,winws1255,10.12.0.157,104.18.37.128,443,TCP,17301
2025-09-15 08:36:22.123012 UTC,winws1263,10.12.0.165,104.18.37.128,443,TCP,18301
2025-09-15 08:38:22.456345 UTC,winws1271,10.12.0.173,104.18.37.128,443,TCP,19301
2025-09-15 08:40:22.789678 UTC,winws1279,10.12.0.181,104.18.37.128,443,TCP,20301
2025-09-15 08:42:22.123012 UTC,winws1287,10.12.0.189,104.18.37.128,443,TCP,21301
2025-09-15 08:44:22.456345 UTC,winws1295,10.12.0.197,104.18.37.128,443,TCP,22301
2025-09-15 08:46:22.789678 UTC,winws1303,10.12.0.205,104.18.37.128,443,TCP,23301
2025-09-15 08:48:22.123012 UTC,winws1311,10.12.0.213,104.18.37.128,443,TCP,24301
2025-09-15 08:50:22.456345 UTC,winws1319,10.12.0.221,104.18.37.128,443,TCP,25301
2025-09-15 08:20:49.456345 UTC,winws0152,10.15.0.22,142.250.196.174,443,TCP,10601
2025-09-15 08:21:28.789678 UTC,winws0091,10.30.0.92,142.250.196.174,443,TCP,10901
2025-09-15 08:22:28.456345 UTC,winws0093,10.30.0.96,142.250.196.174,443,TCP,11401
2Door-09-15 08:22:43.123012 UTC,winws1051,10.30.0.97,142.250.196.174,443,TCP,11501
2025-09-15 08:23:22.456345 UTC,winws1211,10.12.0.113,142.250.196.174,443,TCP,11801
2025-09-15 08:23:52.789678 UTC,winws1213,10.12.0.115,142.250.196.174,443,TCP,12101
2025-09-15 08:24:28.789678 UTC,winws0097,10.30.0.116,142.250.196.174,443,TCP,12401
2025-09-15 08:24:43.456345 UTC,winws1055,10.30.0.117,142.250.196.174,443,TCP,12501
2025-09-15 08:25:22.789678 UTC,winws1219,10.12.0.121,142.250.196.174,443,TCP,12801
2025-09-15 08:25:52.123012 UTC,winws1221,10.12.0.123,142.250.196.174,443,TCP,13101
2025-09-15 08:26:28.123012 UTC,winws0101,10.30.0.124,142.250.196.174,443,TCP,13401
2025-09-15 08:26:43.789678 UTC,winws1059,10.30.0.125,142.250.196.174,443,TCP,13501
2025-09-15 08:27:22.123012 UTC,winws1227,10.12.0.129,142.250.196.174,443,TCP,13801
2025-09-15 08:27:52.456345 UTC,winws1229,10.12.0.131,142.250.196.174,443,TCP,14101
2025-09-15 08:28:28.456345 UTC,winws0105,10.30.0.132,142.250.196.174,443,TCP,14401
2025-09-15 08:28:43.123012 UTC,winws1063,10.30.0.133,142.250.196.174,443,TCP,14501
2025-09-15 08:29:22.456345 UTC,winws1235,10.12.0.137,142.250.196.174,443,TCP,14801
2025-09-15 08:29:52.789678 UTC,winws1237,10.12.0.139,142.250.196.174,443,TCP,15101
2025-09-15 08:30:28.789678 UTC,winws0109,10.30.0.140,142.250.196.174,443,TCP,15401
2025-09-15 08:30:43.456345 UTC,winws1067,10.30.0.141,142.250.196.174,443,TCP,15501
2025-09-15 08:31:22.789678 UTC,winws1243,10.12.0.145,142.250.196.174,443,TCP,15801
2025-09-15 08:31:52.123012 UTC,winws1245,10.12.0.147,142.250.196.174,443,TCP,16101
2025-09-15 08:32:28.123012 UTC,winws0113,10.30.0.148,142.250.196.174,443,TCP,16401
2025-09-15 08:32:43.789678 UTC,winws1071,10.30.0.149,142.250.196.174,443,TCP,16501
2025-09-15 08:33:22.123012 UTC,winws1251,10.12.0.153,142.250.196.174,443,TCP,16801
2025-09-15 08:33:52.456345 UTC,winws1253,10.12.0.155,142.250.196.174,443,TCP,17101
2025-09-15 08:34:28.456345 UTC,winws0117,10.30.0.156,142.250.196.174,443,TCP,17401
2025-09-15 08:34:43.123012 UTC,winws1075,10.30.0.157,142.250.196.174,443,TCP,17501
2025-09-15 08:35:22.456345 UTC,winws1259,10.12.0.161,142.250.196.174,443,TCP,17801
2025-09-15 08:35:52.789678 UTC,winws1261,10.12.0.163,142.250.196.174,443,TCP,18101
2025-09-15 08:36:28.789678 UTC,winws0121,10.30.0.164,142.250.196.174,443,TCP,18401
2025-09-15 08:36:43.456345 UTC,winws1079,10.30.0.165,142.250.196.174,443,TCP,18501
2Options:09-15 08:37:22.789678 UTC,winws1267,10.12.0.169,142.250.196.174,443,TCP,18801
2025-09-15 08:37:52.123012 UTC,winws1269,10.12.0.171,142.250.196.174,443,TCP,19101
2025-09-15 08:38:28.123012 UTC,winws0125,10.30.0.172,142.250.196.174,443,TCP,19401
2025-09-15 08:38:43.789678 UTC,winws1083,10.30.0.173,142.250.196.174,443,TCP,19501
2025-09-15 08:39:22.123012 UTC,winws1275,10.12.0.177,142.250.196.174,443,TCP,19801
2025-09-15 08:39:52.456345 UTC,winws1277,10.12.0.179,142.250.196.174,443,TCP,20101
2025-09-15 08:40:28.456345 UTC,winws0129,10.30.0.180,142.250.196.174,443,TCP,20401
2025-09-15 08:40:43.123012 UTC,winws1087,10.30.0.181,142.250.196.174,443,TCP,20501
2025-09-15 08:41:22.456345 UTC,winws1283,10.12.0.185,142.250.196.174,443,TCP,20801
2025-09-15 08:41:52.789678 UTC,winws1285,10.12.0.187,142.250.196.174,443,TCP,21101
2025-09-15 08:42:28.789678 UTC,winws0133,10.30.0.188,142.250.196.174,443,TCP,21401
2025-09-15 08:42:43.456345 UTC,winws1091,10.30.0.189,142.250.196.174,443,TCP,21501
2025-09-15 08:43:22.789678 UTC,winws1291,10.12.0.193,142.250.196.174,443,TCP,21801
2025-09-15 08:43:52.123012 UTC,winws1293,10.12.0.195,142.250.196.174,443,TCP,22101
2025-09-15 08:44:28.123012 UTC,winws0137,10.30.0.196,142.250.196.174,443,TCP,22401
2025-09-15 08:44:43.789678 UTC,winws1095,10.30.0.197,142.250.196.174,443,TCP,22501
2025-09-15 08:45:22.123012 UTC,winws1299,10.12.0.201,142.250.196.174,443,TCP,22801
2025-09-15 08:45:52.456345 UTC,winws1301,10.12.0.203,142.250.196.174,443,TCP,23101
2025-09-15 08:46:28.456345 UTC,winws0141,10.30.0.204,142.250.196.174,443,TCP,23401
2025-09-15 08:46:43.123012 UTC,winws1099,10.30.0.205,142.250.196.174,443,TCP,23501
2025-09-15 08:47:22.456345 UTC,winws1307,10.12.0.209,142.250.196.174,443,TCP,23801
2025-09-15 08:47:52.789678 UTC,winws1309,10.12.0.211,142.250.196.174,443,TCP,24101
2025-09-15 08:48:28.789678 UTC,winws0145,10.30.0.212,142.250.196.174,443,TCP,24401
2025-09-15 08:48:43.456345 UTC,winws1103,10.30.0.213,142.250.196.174,443,TCP,24501
2025-09-15 08:49:22.789678 UTC,winws1315,10.12.0.217,142.250.196.174,443,TCP,24801
2025-09-15 08:49:52.123012 UTC,winws1317,10.12.0.219,142.250.196.174,443,TCP,25101
2025-09-15 08:50:28.123012 UTC,winws0149,10.30.0.220,142.250.196.174,443,TCP,25401
2025-09-15 08:15:23.321654 UTC,winws1046,10.30.0.88,151.101.65.132,443,TCP,10201
2025-09-15 08:23:43.789678 UTC,winws1053,10.30.0.113,151.101.65.132,443,TCP,12001
2025-09-15 08:25:04.789678 UTC,winws0169,10.15.0.39,151.101.65.132,443,TCP,12701
2025-09-15 08:27:04.123012 UTC,winws0177,10.15.0.47,151.101.65.132,443,TCP,13701
2025-09-15 08:29:04.456345 UTC,winws0185,10.15.0.55,151.101.65.132,443,TCP,14701
2025-09-15 08:31:04.789678 UTC,winws0193,10.15.0.63,151.101.65.132,443,TCP,15701
2025-09-15 08:33:04.123012 UTC,winws0201,10.15.0.71,151.101.65.132,443,TCP,16701
2025-09-15 08:35:04.456345 UTC,winws0209,10.15.0.79,151.101.65.132,443,TCP,17701
2025-09-15 08:37:04.789678 UTC,winws0216,10.15.0.87,151.101.65.132,443,TCP,18701
2025-09-15 08:39:04.123012 UTC,winws0224,10.15.0.95,151.101.65.132,443,TCP,19701
2025-09-15 08:41:04.456345 UTC,winws0232,10.15.0.103,151.101.65.132,443,TCP,20701
2Choose:09-15 08:43:04.789678 UTC,winws0240,10.15.0.111,151.101.65.132,443,TCP,21701
2025-09-15 08:45:04.123012 UTC,winws0248,10.15.0.119,151.101.65.132,443,TCP,22701
2025-09-15 08:47:04.456345 UTC,winws0256,10.15.0.127,151.101.65.132,443,TCP,23701
2025-09-15 08:49:04.789678 UTC,winws0264,10.15.0.135,151.101.65.132,443,TCP,24701
2025-09-15 08:21:01.789678 UTC,winws1202,10.12.0.104,151.101.66.217,443,TCP,10701
2025-09-15 08:22:22.789678 UTC,winws1207,10.12.0.109,151.101.66.217,443,TCP,11301
2025-09-15 08:25:43.123012 UTC,winws1057,10.30.0.121,151.101.66.217,443,TCP,13001
2025-09-15 08:27:43.456345 UTC,winws1061,10.30.0.129,151.101.66.217,443,TCP,14001
2025-09-15 08:29:43.789678 UTC,winws1065,10.30.0.137,151.101.66.217,443,TCP,15001
2025-09-15 08:31:43.123012 UTC,winws1069,10.30.0.145,151.101.66.217,443,TCP,16001
2025-09-15 08:33:43.456345 UTC,winws1073,10.30.0.153,151.101.66.217,443,TCP,17001
2025-09-15 08:35:43.789678 UTC,winws1077,10.30.0.161,151.101.66.217,443,TCP,18001
2025-09-15 08:37:43.123012 UTC,winws1081,10.30.0.169,151.101.66.217,443,TCP,19001
2025-09-15 08:39:43.456345 UTC,winws1085,10.30.0.177,151.101.66.217,443,TCP,20001
2025-09-15 08:41:43.789678 UTC,winws1089,10.30.0.185,151.101.66.217,443,TCP,21001
2025-09-15 08:43:43.123012 UTC,winws1093,10.30.0.193,151.101.66.217,443,TCP,22001
2025-09-15 08:45:43.456345 UTC,winws1097,10.30.0.201,151.101.66.217,443,TCP,23001
2025-09-15 08:47:43.789678 UTC,winws1101,10.30.0.209,151.101.66.217,443,TCP,24001
2025-09-15 08:49:43.123012 UTC,winws1105,10.30.0.217,151.101.66.217,443,TCP,25001
2025-09-15 08:16:21.123901 UTC,linsrv0300,10.50.8.40,185.125.190.22,4444,TCP,2205
2025-09-15 08:18:21.123901 UTC,linsrv0300,10.50.8.40,185.125.190.22,4444,TCP,2205
2025-09-15 08:20:21.123901 UTC,linsrv0300,10.50.8.40,185.125.190.22,4444,TCP,2205
2C25-09-15 08:23:44.123901 UTC,linsrv0300,10.50.8.40,185.125.190.22,4444,TCP,2205
2025-09-15 09:36:18.123901 UTC,linsrv0300,10.50.8.40,185.125.190.22,4444,TCP,2205
2025-09-15 10:39:34.123901 UTC,linsrv0300,10.50.8.40,185.125.190.22,4444,TCP,2205
2025-09-15 11:42:50.123901 UTC,linsrv0300,10.50.8.40,185.125.190.22,4444,TCP,2205
2025-09-15 12:46:06.123901 UTC,linsrv0300,10.50.8.40,185.125.190.22,4444,TCP,2205
2025-09-15 13:49:22.123901 UTC,linsrv0300,10.50.8.40,185.125.190.22,4444,TCP,2205
2025-09-15 14:52:38.123901 UTC,linsrv0300,10.50.8.40,185.125.190.22,4444,TCP,2205
2025-09-15 08:25:05.123901 UTC,linsrv0300,10.50.8.40,185.125.190.23,4444,TCP,2205
2025-09-15 09:37:31.123901 UTC,linsrv0300,10.50.8.40,185.125.190.23,4444,TCP,2205
2025-09-15 10:40:47.123901 UTC,linsrv0300,10.50.8.40,185.125.190.23,4444,TCP,2205
2025-09-15 11:44:03.123901 UTC,linsrv0300,10.50.8.40,185.125.190.23,4444,TCP,2205
2025-09-15 12:47:19.123901 UTC,linsrv0300,10.50.8.40,185.125.190.23,4444,TCP,2205
2025-09-15 13:50:35.123901 UTC,linsrv0300,10.50.8.40,185.125.190.23,4444,TCP,2205
2025-09-15 08:27:31.123901 UTC,linsrv0300,10.50.8.40,185.125.190.24,4444,TCP,2205
2025-09-15 09:38:44.123901 UTC,linsrv0300,10.50.8.40,185.125.190.24,4444,TCP,2205
2025-09-15 10:42:00.123901 UTC,linsrv0300,10.50.8.40,185.125.190.24,4444,TCP,2205
2025-09-15 11:45:16.123901 UTC,linsrv0300,10.50.8.40,185.125.190.24,4444,TCP,2205
2025-09-15 12:48:32.123901 UTC,linsrv0300,10.50.8.40,185.125.190.24,4444,TCP,2205
2025-09-15 13:51:48.123901 UTC,linsrv0300,10.50.8.40,185.125.190.24,4444,TCP,2205
2025-09-15 08:30:08.123901 UTC,linsrv0300,10.50.8.40,185.125.190.25,4444,TCP,2205
2025-09-15 09:39:57.123901 UTC,linsrv0300,10.50.8.40,185.125.190.25,4444,TCP,2205
2025-09-15 10:43:13.123901 UTC,linsrv0300,10.50.8.40,185.125.190.25,4444,TCP,2205
2025-09-15 11:46:29.123901 UTC,linsrv0300,10.50.8.40,185.125.190.25,4444,TCP,2205
2025-09-15 12:49:45.123901 UTC,linsrv0300,10.50.8.40,185.125.190.25,4444,TCP,2205
2025-09-15 13:53:01.123901 UTC,linsrv0300,10.50.8.40,185.125.190.25,4444,TCP,2205
2025-09-15 08:32:53.123901 UTC,linsrv0300,10.50.8.40,185.125.190.26,4444,TCP,2205
2025-09-15 09:41:10.123901 UTC,linsrv0300,10.50.8.40,185.125.190.26,4444,TCP,2205
2025-09-15 10:44:26.123901 UTC,linsrv0300,10.50.8.40,185.125.190.26,4444,TCP,2205
2025-09-15 11:47:42.123901 UTC,linsrv0300,10.50.8.40,185.125.190.26,4444,TCP,2205
2025-09-15 12:50:58.123901 UTC,linsrv0300,10.50.8.40,185.125.190.26,4444,TCP,2205
2025-09-15 13:54:14.123901 UTC,linsrv0300,10.50.8.40,185.125.190.26,4444,TCP,2205
2025-09-15 08:35:06.123901 UTC,linsrv0300,10.50.8.40,185.125.190.27,4444,TCP,2205
2025-09-15 09:42:23.123901 UTC,linsrv0300,10.50.8.40,185.125.190.27,4444,TCP,2205
2025-09-15 10:45:39.123901 UTC,linsrv0300,10.50.8.40,185.125.190.27,4444,TCP,2205
2025-09-15 11:48:55.123901 UTC,linsrv0300,10.50.8.40,185.125.190.27,4444,TCP,2205
2025-09-15 12:52:11.123901 UTC,linsrv0300,10.50.8.40,185.125.190.27,4444,TCP,2205
2025-09-15 13:55:27.123901 UTC,linsrv0300,10.50.8.40,185.125.190.27,4444,TCP,2205
2025-09-15 08:36:49.123901 UTC,linsrv0300,10.50.8.40,185.125.190.28,4444,TCP,2205
2025-09-15 09:43:36.123901 UTC,linsrv0300,10.50.8.40,185.125.190.28,4444,TCP,2205
2025-09-15 10:46:52.123901 UTC,linsrv0300,10.50.8.40,185.125.190.28,4444,TCP,2205
2025-09-15 11:50:08.123901 UTC,linsrv0300,10.50.8.40,185.125.190.28,4444,TCP,2205
2025-09-15 12:53:24.123901 UTC,linsrv0300,10.50.8.40,185.125.190.28,4444,TCP,2205
2025-09-15 13:56:40.123901 UTC,linsrv0300,10.50.8.40,185.125.190.28,4444,TCP,2205
